Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Payment Mode,Return,cost,Discount
1716,CA-2019-154788,"Tuesday, April 30, 2019","Saturday, May 4, 2019",Standard Class,JL-15835,John Lee,Consumer,United States,New York City,New York,East,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,7.712,2,2.7956,Online,Yes,4.9164,0.41934
9852,CA-2019-158155,"Thursday, May 2, 2019","Monday, May 6, 2019",Standard Class,EH-13765,Edward Hooks,Corporate,United States,New York City,New York,East,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,90.48,3,33.93,Cards,No,56.55,5.0895
2180,CA-2019-128818,"Tuesday, May 7, 2019","Saturday, May 11, 2019",Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,East,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",85.232,7,30.8966,Cards,No,54.3354,4.63449
4830,CA-2019-152408,"Wednesday, May 15, 2019","Tuesday, May 21, 2019",Standard Class,TT-21220,Thomas Thornton,Consumer,United States,New York City,New York,East,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,13.776,3,4.4772,Cards,Yes,9.2988,0.67158
1721,CA-2019-169943,"Sunday, May 19, 2019","Friday, May 24, 2019",Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,New York City,New York,East,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,47.744,4,14.92,Cards,Yes,32.824,2.238
9631,CA-2019-168844,"Friday, May 31, 2019","Thursday, June 6, 2019",Standard Class,NM-18520,Neoma Murray,Consumer,United States,New York City,New York,East,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,7.152,3,2.3244,COD,Yes,4.8276,0.34866
5226,CA-2019-119865,"Friday, June 21, 2019","Wednesday, June 26, 2019",Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,New York City,New York,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,36.56,5,12.796,COD,Yes,23.764,1.9194
5227,CA-2019-119865,"Friday, June 21, 2019","Wednesday, June 26, 2019",Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,New York City,New York,East,OFF-BI-10003007,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",186.144,6,60.4968,COD,No,125.6472,9.07452
2154,CA-2019-117282,"Sunday, July 14, 2019","Thursday, July 18, 2019",Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,New York City,New York,East,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,14.16,2,5.133,COD,Yes,9.027,0.76995
9311,US-2019-102141,"Monday, August 26, 2019","Saturday, August 31, 2019",Standard Class,KD-16615,Ken Dana,Corporate,United States,New York City,New York,East,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,146.688,8,45.84,COD,Yes,100.848,6.876
5332,CA-2019-123120,"Wednesday, September 4, 2019","Sunday, September 8, 2019",Standard Class,CV-12295,Christina VanderZanden,Consumer,United States,New York City,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,60.6,5,20.4525,Online,No,40.1475,3.067875
925,CA-2019-149797,"Sunday, September 15, 2019","Friday, September 20, 2019",Standard Class,AH-10075,Adam Hart,Corporate,United States,New York City,New York,East,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,841.568,2,294.5488,Online,Yes,547.0192,44.18232
3311,CA-2019-111416,"Tuesday, September 17, 2019","Sunday, September 22, 2019",Standard Class,LW-17215,Luke Weiss,Consumer,United States,New York City,New York,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,232.4,5,78.435,Online,Yes,153.965,11.76525
71,CA-2019-106075,"Wednesday, September 18, 2019","Monday, September 23, 2019",Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,1.731,Online,Yes,2.885,0.25965
9536,CA-2019-116596,"Sunday, October 27, 2019","Thursday, October 31, 2019",Standard Class,BW-11200,Ben Wallace,Consumer,United States,New York City,New York,East,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,9.728,2,3.2832,COD,Yes,6.4448,0.49248
9203,CA-2019-153836,"Wednesday, October 30, 2019","Sunday, November 3, 2019",Standard Class,EH-13765,Edward Hooks,Corporate,United States,New York City,New York,East,OFF-BI-10004817,Office Supplies,Binders,GBC Personal VeloBind Strips,28.752,3,10.0632,Cards,No,18.6888,1.50948
4863,CA-2019-125164,"Sunday, November 10, 2019","Thursday, November 14, 2019",Standard Class,SH-19975,Sally Hughsby,Corporate,United States,New York City,New York,East,OFF-BI-10001191,Office Supplies,Binders,Canvas Sectional Post Binders,20.368,1,7.3834,Online,Yes,12.9846,1.10751
4864,CA-2019-125164,"Sunday, November 10, 2019","Thursday, November 14, 2019",Standard Class,SH-19975,Sally Hughsby,Corporate,United States,New York City,New York,East,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,49.848,3,16.8237,Cards,No,33.0243,2.523555
9249,CA-2019-127761,"Sunday, November 10, 2019","Thursday, November 14, 2019",Standard Class,SW-20275,Scott Williamson,Consumer,United States,New York City,New York,East,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,3.64,1,1.365,Online,No,2.275,0.20475
7034,CA-2019-145548,"Monday, November 11, 2019","Saturday, November 16, 2019",Standard Class,EB-13750,Edward Becker,Corporate,United States,New York City,New York,East,OFF-BI-10001510,Office Supplies,Binders,Deluxe Heavy-Duty Vinyl Round Ring Binder,55.008,3,17.19,Online,Yes,37.818,2.5785
7035,CA-2019-145548,"Monday, November 11, 2019","Saturday, November 16, 2019",Standard Class,EB-13750,Edward Becker,Corporate,United States,New York City,New York,East,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",35.232,3,11.4504,Online,No,23.7816,1.71756
681,CA-2019-164511,"Tuesday, November 19, 2019","Sunday, November 24, 2019",Standard Class,DJ-13630,Doug Jacobs,Consumer,United States,New York City,New York,East,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,14.352,3,4.6644,Online,Yes,9.6876,0.69966
1289,CA-2019-154711,"Friday, November 22, 2019","Tuesday, November 26, 2019",Standard Class,TB-21355,Todd Boyes,Corporate,United States,New York City,New York,East,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",12.192,4,4.1148,COD,Yes,8.0772,0.61722
8080,US-2019-164945,"Friday, November 22, 2019","Wednesday, November 27, 2019",Standard Class,CA-12055,Cathy Armstrong,Home Office,United States,New York City,New York,East,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,134.272,8,46.9952,Online,No,87.2768,7.04928
6696,US-2019-155103,"Monday, December 2, 2019","Saturday, December 7, 2019",Standard Class,JF-15190,Jamie Frazer,Consumer,United States,New York City,New York,East,OFF-BI-10004318,Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,415.176,3,134.9322,Cards,No,280.2438,20.23983
6697,US-2019-155103,"Monday, December 2, 2019","Saturday, December 7, 2019",Standard Class,JF-15190,Jamie Frazer,Consumer,United States,New York City,New York,East,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",35.232,3,11.4504,COD,No,23.7816,1.71756
6397,CA-2019-129126,"Saturday, December 14, 2019","Thursday, December 19, 2019",Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,East,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",23.12,2,7.803,COD,Yes,15.317,1.17045
8512,CA-2019-103359,"Sunday, December 22, 2019","Thursday, December 26, 2019",Standard Class,LC-16885,Lena Creighton,Consumer,United States,New York City,New York,East,OFF-BI-10004233,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",25.584,2,8.9544,COD,Yes,16.6296,1.34316
5178,CA-2019-123015,"Thursday, December 26, 2019","Monday, December 30, 2019",Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,New York City,New York,East,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,4.992,3,1.6848,COD,No,3.3072,0.25272
7027,US-2020-101840,"Thursday, February 6, 2020","Wednesday, February 12, 2020",Standard Class,SP-20545,Sibella Parks,Corporate,United States,New York City,New York,East,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",134.24,4,15.606,Online,Yes,118.634,2.3409
4903,CA-2020-110884,"Saturday, March 7, 2020","Thursday, March 12, 2020",Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,New York City,New York,East,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,133.92,6,9.072,Online,Yes,124.848,1.3608
3100,CA-2020-131233,"Tuesday, April 14, 2020","Sunday, April 19, 2020",Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,New York City,New York,East,OFF-BI-10000829,Office Supplies,Binders,Avery Non-Stick Binders,110.776,3,3.5022,COD,Yes,107.2738,0.52533
3942,CA-2020-117863,"Monday, May 18, 2020","Saturday, May 23, 2020",Standard Class,TS-21340,Toby Swindell,Consumer,United States,New York City,New York,East,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",102.048,1,1.0287,COD,Yes,101.0193,0.154305
2639,CA-2020-108441,"Friday, June 12, 2020","Thursday, June 18, 2020",Standard Class,SB-20190,Sarah Bern,Consumer,United States,New York City,New York,East,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,124.128,3,4.2666,COD,No,119.8614,0.63999
9829,CA-2020-169999,"Friday, June 19, 2020","Friday, June 26, 2020",Standard Class,JS-15685,Jim Sink,Corporate,United States,New York City,New York,East,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,137.568,3,3.7596,COD,Yes,133.8084,0.56394
6940,CA-2020-107132,"Friday, June 26, 2020","Tuesday, June 30, 2020",Standard Class,SC-20260,Scott Cohen,Corporate,United States,New York City,New York,East,OFF-BI-10001071,Office Supplies,Binders,GBC ProClick Punch Binding System,127.368,2,37.1084,Cards,No,90.2596,5.56626
7894,CA-2020-125367,"Thursday, July 23, 2020","Thursday, July 30, 2020",Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,East,OFF-BI-10002412,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,120.92,3,4.35,COD,Yes,116.57,0.6525
759,CA-2020-117240,"Thursday, July 23, 2020","Tuesday, July 28, 2020",Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,East,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,116.128,3,4.2666,Cards,No,111.8614,0.63999
9271,US-2020-102183,"Friday, August 21, 2020","Friday, August 28, 2020",Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,4330.552,6,1453.1238,COD,No,2877.4282,217.96857
9270,US-2020-102183,"Friday, August 21, 2020","Friday, August 28, 2020",Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,139.088,7,11.2308,COD,Yes,127.8572,1.68462
5404,CA-2020-123043,"Monday, August 24, 2020","Saturday, August 29, 2020",Standard Class,AH-10195,Alan Haines,Corporate,United States,New York City,New York,East,OFF-BI-10000138,Office Supplies,Binders,Acco Translucent Poly Ring Binders,141.744,1,1.3104,Cards,No,140.4336,0.19656
5403,CA-2020-123043,"Monday, August 24, 2020","Saturday, August 29, 2020",Standard Class,AH-10195,Alan Haines,Corporate,United States,New York City,New York,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,121.672,4,7.71,Cards,No,113.962,1.1565
1951,CA-2020-157987,"Wednesday, September 2, 2020","Sunday, September 6, 2020",Standard Class,AC-10615,Ann Chong,Corporate,United States,New York City,New York,East,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",104.432,8,8.9208,COD,No,95.5112,1.33812
3820,CA-2020-141873,"Friday, October 9, 2020","Wednesday, October 14, 2020",Standard Class,HG-14845,Harry Greene,Consumer,United States,New York City,New York,East,OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,125.816,3,4.3254,Online,No,121.4906,0.64881
3823,CA-2020-141873,"Friday, October 9, 2020","Wednesday, October 14, 2020",Standard Class,HG-14845,Harry Greene,Consumer,United States,New York City,New York,East,OFF-BI-10003655,Office Supplies,Binders,Durable Pressboard Binders,144.24,6,6.156,Online,No,138.084,0.9234
3218,CA-2020-104640,"Tuesday, November 10, 2020","Monday, November 16, 2020",Standard Class,FH-14275,Frank Hawley,Corporate,United States,New York City,New York,East,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,971.176,3,314.2719,Online,No,656.9041,47.140785
1073,CA-2020-106943,"Saturday, November 14, 2020","Thursday, November 19, 2020",Standard Class,FO-14305,Frank Olsen,Consumer,United States,New York City,New York,East,OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,121.64,2,3.024,Online,Yes,118.616,0.4536
5135,CA-2020-155607,"Thursday, November 26, 2020","Monday, November 30, 2020",Standard Class,FG-14260,Frank Gastineau,Home Office,United States,New York City,New York,East,OFF-BI-10003364,Office Supplies,Binders,Binding Machine Supplies,135.344,4,32.6704,COD,Yes,102.6736,4.90056
2463,CA-2020-148691,"Thursday, December 3, 2020","Wednesday, December 9, 2020",Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,East,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,116.92,5,29.372,Cards,Yes,87.548,4.4058
2464,CA-2020-148691,"Thursday, December 3, 2020","Wednesday, December 9, 2020",Standard Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,110.624,2,5.1184,COD,Yes,105.5056,0.76776
6748,CA-2020-100230,"Friday, December 11, 2020","Tuesday, December 15, 2020",Standard Class,AA-10375,Allen Armold,Consumer,United States,New York City,New York,East,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,415.952,1,5.0463,Online,Yes,410.9057,0.756945
390,CA-2020-101798,"Friday, December 11, 2020","Tuesday, December 15, 2020",Standard Class,MV-18190,Mike Vittorini,Consumer,United States,New York City,New York,East,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",398.36,4,7.884,COD,Yes,390.476,1.1826
7041,CA-2020-103443,"Thursday, December 17, 2020","Wednesday, December 23, 2020",Standard Class,AT-10735,Annie Thurman,Consumer,United States,New York City,New York,East,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,444.816,3,8.3754,COD,No,436.4406,1.25631
6510,CA-2020-102197,"Sunday, December 20, 2020","Saturday, December 26, 2020",Standard Class,DK-13150,David Kendrick,Corporate,United States,New York City,New York,East,OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,489.352,3,17.6232,Cards,Yes,471.7288,2.64348
1507,CA-2020-154935,"Thursday, December 24, 2020","Tuesday, December 29, 2020",Standard Class,AR-10540,Andy Reiter,Consumer,United States,New York City,New York,East,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",362.88,3,5.5875,Online,Yes,357.2925,0.838125
573,CA-2020-164826,"Monday, December 28, 2020","Monday, January 4, 2021",Standard Class,JF-15415,Jennifer Ferguson,Consumer,United States,New York City,New York,East,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders,158.264,7,11.2266,COD,No,147.0374,1.68399
909,CA-2020-143259,"Wednesday, December 30, 2020","Sunday, January 3, 2021",Standard Class,PO-18865,Patrick O'Donnell,Consumer,United States,New York City,New York,East,OFF-BI-10003684,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,462.776,3,19.791,COD,Yes,442.985,2.96865
6098,CA-2020-100111,"Sunday, September 20, 2020","Saturday, September 26, 2020",Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",119.784,3,3.9771,Online,No,115.8069,0.596565
4914,CA-2020-127306,"Tuesday, January 14, 2020","Saturday, January 18, 2020",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,South,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,101.508,2,-1.8392,Cards,Yes,103.3472,-0.27588
4913,CA-2020-127306,"Tuesday, January 14, 2020","Saturday, January 18, 2020",Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Johnson City,Tennessee,South,OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,122.97,5,-4.577,Online,No,127.547,-0.68655
3379,CA-2020-142867,"Tuesday, March 17, 2020","Saturday, March 21, 2020",Standard Class,PO-19180,Philisse Overcash,Home Office,United States,Houston,Texas,Central,OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,119.776,6,-22.0416,Cards,No,141.8176,-3.30624
2091,CA-2020-166142,"Wednesday, July 15, 2020","Sunday, July 19, 2020",Standard Class,MM-17260,Magdelene Morse,Consumer,United States,Wilmington,Delaware,East,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,132.55,3,13.0095,Cards,Yes,119.5405,1.951425
1214,US-2020-118087,"Wednesday, September 9, 2020","Sunday, September 13, 2020",Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,94.036,2,-2.3276,COD,Yes,96.3636,-0.34914
1215,US-2020-118087,"Wednesday, September 9, 2020","Sunday, September 13, 2020",Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",124.503,1,-3.6024,Online,No,128.1054,-0.54036
5894,CA-2020-159954,"Thursday, September 10, 2020","Monday, September 14, 2020",Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Atlanta,Georgia,South,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,73.78,1,1.3622,COD,No,72.4178,0.20433
6974,CA-2020-153822,"Saturday, September 19, 2020","Friday, September 25, 2020",Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,West,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,99.18,4,-13.938,Online,No,113.118,-2.0907
7120,CA-2020-118122,"Tuesday, November 17, 2020","Tuesday, November 24, 2020",Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Seattle,Washington,West,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",77.904,2,4.5188,Online,No,73.3852,0.67782
8870,CA-2020-101805,"Tuesday, December 1, 2020","Sunday, December 6, 2020",Standard Class,SH-19975,Sally Hughsby,Corporate,United States,Seattle,Washington,West,OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,141.92,5,5.373,COD,Yes,136.547,0.80595
7947,CA-2020-134194,"Friday, December 25, 2020","Friday, January 1, 2021",Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Dallas,Texas,Central,OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",339.168,3,-5.0688,Cards,Yes,344.2368,-0.76032
7946,CA-2020-134194,"Friday, December 25, 2020","Friday, January 1, 2021",Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Dallas,Texas,Central,OFF-BI-10001597,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",399.98,5,-65.568,COD,Yes,465.548,-9.8352
7943,CA-2020-134194,"Friday, December 25, 2020","Friday, January 1, 2021",Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Dallas,Texas,Central,OFF-BI-10003684,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,418.582,9,-59.373,Online,No,477.955,-8.90595
8761,CA-2019-159891,"Thursday, January 31, 2019","Wednesday, February 6, 2019",Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Atlanta,Georgia,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,635.495,Online,No,635.495,95.32425
8277,US-2019-139262,"Thursday, February 21, 2019","Monday, February 25, 2019",Standard Class,LC-16960,Lindsay Castell,Home Office,United States,Tampa,Florida,South,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,3.762,3,-2.7588,COD,Yes,6.5208,-0.41382
8278,US-2019-139262,"Thursday, February 21, 2019","Monday, February 25, 2019",Standard Class,LC-16960,Lindsay Castell,Home Office,United States,Tampa,Florida,South,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,34.86,2,-26.726,Online,Yes,61.586,-4.0089
8444,US-2019-155173,"Wednesday, March 6, 2019","Sunday, March 10, 2019",Standard Class,JB-16045,Julia Barnett,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,2.043,1,-1.4982,COD,Yes,3.5412,-0.22473
8506,CA-2019-130400,"Friday, March 8, 2019","Tuesday, March 12, 2019",Standard Class,SJ-20125,Sanjit Jacobs,Home Office,United States,Dallas,Texas,Central,OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,8.856,9,-14.1696,Cards,Yes,23.0256,-2.12544
2366,US-2019-108637,"Wednesday, March 13, 2019","Monday, March 18, 2019",Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,South,OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,46,4,20.7,Online,No,25.3,3.105
3674,CA-2019-104969,"Monday, April 8, 2019","Sunday, April 14, 2019",Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,Troy,Ohio,East,OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,121.104,6,-100.92,COD,No,222.024,-15.138
430,US-2019-123750,"Monday, April 15, 2019","Sunday, April 21, 2019",Standard Class,RB-19795,Ross Baird,Home Office,United States,Gastonia,North Carolina,South,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,189.588,2,-145.3508,COD,No,334.9388,-21.80262
465,CA-2019-109869,"Monday, April 22, 2019","Monday, April 29, 2019",Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,West,OFF-BI-10000315,Office Supplies,Binders,Poly Designer Cover & Back,28.485,5,-20.889,Online,Yes,49.374,-3.13335
4989,CA-2019-149279,"Wednesday, April 24, 2019","Sunday, April 28, 2019",Standard Class,CL-12700,Craig Leslie,Home Office,United States,Colorado Springs,Colorado,West,OFF-BI-10004040,Office Supplies,Binders,Wilson Jones Impact Binders,3.108,2,-2.1756,COD,Yes,5.2836,-0.32634
2096,US-2019-146570,"Wednesday, May 15, 2019","Monday, May 20, 2019",Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Jackson,Mississippi,South,OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,511.84,8,240.5648,Cards,No,271.2752,36.08472
935,CA-2019-140081,"Thursday, June 20, 2019","Monday, June 24, 2019",Standard Class,CG-12040,Catherine Glotzbach,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10004826,Office Supplies,Binders,JM Magazine Binder,29.718,6,-21.7932,COD,No,51.5112,-3.26898
